[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 21:55:11 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:35:51 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:35:51 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:40:19 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:40:19 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:41:50 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:41:50 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 22:41:50 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:41:51 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:42:45 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:42:45 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 22:42:45 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:42:46 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:43:07 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:43:07 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 22:43:07 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:43:07 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type hdd --medium=/home/user/VirtualBox\ VMs/o10/disk1.vmdk | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type dvddrive --medium=/home/user/Saved/OS/archlinux-2024.01.01-x86_64.iso | Thu Aug 22 22:43:35 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard>/dev/null | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type hdd --medium=/home/user/VirtualBox\ VMs/o10/disk1.vmdk | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type dvddrive --medium=/home/user/Saved/OS/archlinux-2024.01.01-x86_64.iso | Thu Aug 22 22:46:46 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type hdd --medium=/home/user/VirtualBox\ VMs/o10/disk1.vmdk | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type dvddrive --medium=/home/user/Saved/OS/archlinux-2024.01.01-x86_64.iso | Thu Aug 22 22:49:52 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:52:37 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:52:37 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:56:52 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:56:52 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 22:57:53 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 22:57:53 2024
[LoggerStatus.SUCCESS] | VBoxManage createvm  --name o10 --ostype Linux_64 --register | Thu Aug 22 23:00:03 2024
[LoggerStatus.SUCCESS] | VBoxManage modifyvm o10 --description allo --memory=1024 --vram=8 --cpus=1 --nic1=bridged --autostart-enabled=off --drag-and-drop=bidirectional --bridge-adapter1=wlan0 | Thu Aug 22 23:00:03 2024
[LoggerStatus.SUCCESS] | VBoxManage createmedium disk --filename=/home/user/VirtualBox\ VMs/o10/disk1.vmdk --size=10240 --format=VMDK --variant=Standard | Thu Aug 22 23:00:03 2024
[LoggerStatus.SUCCESS] | VBoxManage storagectl o10 --name SC --add sata --controller IntelAHCI | Thu Aug 22 23:00:03 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type hdd --medium=/home/user/VirtualBox\ VMs/o10/disk1.vmdk | Thu Aug 22 23:00:03 2024
[LoggerStatus.SUCCESS] | VBoxManage storageattach o10 --storagectl=SC --port=1 --type dvddrive --medium=/home/user/Saved/OS/archlinux-2024.01.01-x86_64.iso | Thu Aug 22 23:00:03 2024
